ID	title	author	date	folio	notes	work_code	work_title	osa
537	Epitres de saint Paul			18v	"Date ambiguous (1750-). Source data entitled: 'Epitres de saint Paul par le pere Berruyer'. No date of publication found. Work and author mentioned in 'Catalogue des manuscrits de la bibliotheque royale des ducs de Bourgogne', by Francois-Joseph-Ferdinand Marchal, published in Bruxelles and Leipzig, 1842, p. 144."	zspbk0013475	Epitre de Saint Paul	0.904761905
540	"L'e?cole de l'homme: ou parallele des portraits du sie?cle,"	"Genard, Francois"		18v	"Date ambiguous (1750-). Source data entitled: 'Ecole (l') de l'homme'. Published in Londres [i.e. Amsterdam?], 1752. OCLC Number:642279517."	spbk00014949	"Ecole de l'homme, ou parallèle des portraits du siècle et des tableaux de l'Ecriture Sainte"	0.82
546	Essai politique sur la ve?ritable liberte? civile: discours adresse? au peuple d'Angleterre			19r	"Date ambiguous (1750-). Source data entitled: 'Essay politique sur la liberte civile'. Published in London, 1771. Author not identified."	spbk00014953	Essai politique sur la véritable liberté civile	0.9
547	Egoïsme (l')			19r	"Date ambiguous (1750-). Source data entitled: 'Egoisme a M. Palissot'. Exact title not found.  Closest title match is an attack on Palissot de Montenoy: 'L'Homme content de lui-me?me, ou L'E?goisme de la Dunciade ', written by de Cerfvol and Jean Henri Marchand, published in Berne, 1772. OCLC Number: 559714073. Other title found for this attack is 'L'Egoiste', by M. Marchand, 1771. https://books.google.com.au/books?id=WhlcAAAAcAAJ"	spbk0003398	Egoïsme (l')	1
548	Esprit de Saurin	"Durand, François-Jacques; Saurin, Jacques;"		19r	"Date ambiguous (1750-). Source data entitled: 'Esprit (l') de Saurin'. Published in Lausanne:  J. P. Heubach, 1767."	spbk0000763	Esprit de Saurin	1
549	Essai général de tactique	"Guibert, Jacques Antoine Hippolyte [de];"		19r	"Date ambiguous (1750-). Published in London: Libraires Associe?s, 1772."	spbk0003292	Essai général de tactique	1
576	Fanatisme (le) des philosophes	"Linguet, Simon-Nicolas-Henri"		21v	"Date ambiguous (1730-). Published in London and Abbeville: chez De Ve?rite?, 1764."	spbk00014958	Fanatisme (le) des philosophes	1
582	Fragments et instructions pour le prince royal de Prusse	Voltaire; Francois-Marie Arouet		21v	"Date ambiguous (1730-). Published in Gene?ve: Cramer, 1767."	spbk0000927	Fragment des instructions pour le prince royal de***	0.92
583	Fille (la) de joye	"Cleland, John;"		21v	"Date ambiguous (1730-). Published in Lampsaque, 1751."	spbk0000918	Fille (la) de joye	1
596	Guerrier (le) philosophe	"Jourdan, Jean-Baptiste;"		23r	"Date ambiguous (1708-1729). Published in Amsterdam: Aux de?pens de la Compagnie; La Haye: Chez Pierre de Hondt, 1744."	spbk0000989	Guerrier (le) philosophe	1
615	Histoire de l'ancien et du nouveau testament			25r	"Date ambiguous (1703-1708). Closest title match: 'Histoire de l'Ancien et du Nouveau Testament et des Juifs, Pour servir d'introduction a? l'Histoire Eccle?siastique de M. l'Abbe? Fleury', by Augustin Calmet, published in  Paris: Emery, 1719."	spbk0010209	"Histoire de l'ancien et du nouveau testament et des Juifs, pour servir d'introduction à l'histoire ecclésiastique de Fleury, par D. Calmet"	0.88
628	Histoire des papes		1712-00-00	25v	"No title matching the source date. Closest title match: 'Histoire des papes, où l'on voit ce qui s'est passé de plus remarquable pendant leur pontificat, depuis Saint Pierre jusques à Clément XI', Lyon: Francois Comba, 1703."	zspbk0011853	Histoire des arabes	0.842105263
632	Histoire de la Bible		1715-00-00	25v	"Best title match: 'Histoire de la Sainte Bible, contenant le Vieux et le Nouveau Testament; avec des explications edifiantes tire?es des SS. peres, pour re?gler les mouers dans toutes fortes de conditions: dedie?e a? Monseigneur le Dauphin', by  Nicolas Fontaine, published in Lyon: aux de?pens de la Socie?te? des Libraires, 1713 (?)."	spbk0004440	Histoires de la Bible	0.952380952
632	Histoire de la Bible		1715-00-00	25v	"Best title match: 'Histoire de la Sainte Bible, contenant le Vieux et le Nouveau Testament; avec des explications edifiantes tire?es des SS. peres, pour re?gler les mouers dans toutes fortes de conditions: dedie?e a? Monseigneur le Dauphin', by  Nicolas Fontaine, published in Lyon: aux de?pens de la Socie?te? des Libraires, 1713 (?)."	zspbk0012134	Histoire de la Suisse	0.80952381
639	"Histoire de la mere et du fils: c'est à dire de Marie de Médicis, Femme du Grand Henry, et Mère de Louis XIII, Roy de France, et de Navarre"	"Eudes de Mézeray, Francois"		25v	"Date ambiguous (1715-). Source data entitled: 'Histoire de la mere et du fils'. Published in Amsterdam: Chez Michel-Charles le Cene, 1730. OCLC Number: 9700463."	zspbk0011951	"Histoire de la mere et du fils: c'est à dire de Marie de Médicis, Femme du Grand Henry, et Mère de Louis XIII, Roy de France, et de Navarre"	1
641	Histoire de Philippe II roi d'Espagne			25v	Date ambiguous (1715-). Source data entitled: 'Histoire de Philippes II roy d'Espagne'. Work and author not identified.	zspbk0011292	"Vie de Philippe II, roi d'Espagne"	0.810810811
646	"Histoire critique de la philosophie: Ou l'on traite de son origine, de ses progres"	"Boureau-Deslandes, Andre-Francois"		25v	"Date ambiguous (1715-). Source data entitled: 'Histoire critique de la philosophie'. Published in Amsterdam, Chez F. Changuion, 1737 and 1756."	zspbk0011897	"Histoire critique de la philosophie: Ou l'on traite de son origine, de ses progres"	1
668	"Histoire de la pairie de France et du Parlement de Paris, ou? l'on traite aussi des e?lecteurs de l'Empire et du Cardinalat par M.D.B."	"Boulainvilliers, Henri de; Le Laboureur, Jean"		26r	"Date ambiguous (1715-). Source data entitled: 'Histoire de la pairie de France par M. Le Laboureur'. Published in London: S. Harding, 1753."	spbk00014959	Histoire de la pairie de France et du parlement de Paris	0.98
692	Honni soit qui mal y pense; ou histoires des filles ce?le?bres du XVIIIe sie?cle	"Desboulmiers, Jean-Auguste Jullien"		26v	"Date ambiguous (1715-). Source data entitled: 'Honni soit qui mal y pense'. Published in Londres, unknown publisher, 1761. Author's details: https://fr.wikipedia.org/wiki/Desboulmiers. OCLC Number: 559768365."	spbk0010229	"Honi soit qui mal y pense, ou Histoire des filles célèbres du dix-huitième siècle"	0.88
700	Histoire d'Iris	"Poisson, M.-C.;"		27r	"Date ambiguous (1715-). Published in La Haye : Roguet, 1736."	spbk0001045	Histoire d'Iris	1
703	Histoire de la Confédération helvétique	"Watteville, Alexandre Louis [de];"		27r	"Date ambiguous (1715-). First published in Berne: Gottschall, 1754."	spbk0001100	Histoire de la Confédération helvétique	1
709	Histoire générale des dogmes et opinions philosophiques	"Diderot, Denis;"		27r	"Date ambiguous (1715-). Published in London, unknown publisher, 1769."	spbk0001156	Histoire générale des dogmes et opinions philosophiques	1
710	Histoire du parlement de Paris	"Voltaire, François Marie Arouet;"		27r	"Date ambiguous (1715-). Published in Amsterdam, Jean Jacques Du Fay, 1769."	zspbk0013065	Histoire du parlement de Paris	1
710	Histoire du parlement de Paris	"Voltaire, François Marie Arouet;"		27r	"Date ambiguous (1715-). Published in Amsterdam, Jean Jacques Du Fay, 1769."	spbk0001148	Histoire du Parlement de Paris	0.966666667
711	Homme (l') au latin	"Siret, Pierre-Louis;"		27r	"Date ambiguous (1715-). Published in London: John Nourse, 1769."	spbk0002564	Homme (l') au latin	1
714	Homme (l') aux quarante ecus	"Voltaire, François Marie Arouet;"		27r	"Date ambiguous (1715-). Published in Geneva, publisher not identified, 1768."	spbk0001204	Homme (l') aux quarante ecus	1
