id_1,str_1,id_2,str_2,osa,cos,sample_edition_1,sample_edition_2
spbk0004599,"Dictionnaire géographique, historique et critique",spbk0003633,"Dictionnaire géographique, historique et politique",0.94,0.9868108228588647,"Dictionnaire géographique, historique et critique, by La Martinière, Antoine Augustin Bruzen [de]. (n.pl., 1768)","Dictionnaire historique, politique et géographique de la Suisse, contenant une description de ce qu'il y a de plus remarquable dans les Cantons Suisses & dans les Etats de leurs Alliés , by NA. (Geneva; Paris, 1788)"
zspbk0014001,Oraison fune?bre de tre?s-haute et tre?s-puissante,zspbk0013692,Oraison fune?bre de tre?s-haut et tre?s-puissant s,0.94,0.9853292781642932,"Oraison fune?bre de tre?s-haute et tre?s-puissante dame, Reine de Madaillan de Lesparre, marquise de Lassai, by Fresneau, Hubert. (Paris, 1763)","Oraison fune?bre de tre?s-haut et tre?s-puissant seigneur Louis Nicolas Victor de Fe?lix, comte du Nuy, mare?chal de France, chevalier des Ordres du Roi, by Beauvais, Jean-Baptiste-Charles-Marie [de]. (Paris, 1773)"
spbk0000527,Dictionnaire abrégé de la fable,spbk0000526,Dictionnaire abrégé de la Bible,0.935483870967742,0.9740259740259738,"Dictionnaire abrégé de la fable, pour l'intelligence des poëtes, des tableaux & des statues, dont les sujets sont tirés de l'histoire poétique, by Chompré, Pierre. (Rouen, 1782)","Dictionnaire abrégé de la Bible pour la connoissance des tableaux historiques tirés de la bible meme et de Flavius Joseph, by Chompré, Pierre. (Paris, 1766)"
zspbk0014317,Moyens du Salut,zspbk0012341,Moyen du Salut,0.9333333333333333,0.9733285267845753,"Moyens du Salut, by NA. (, )","Moyen du Salut, by NA. (, )"
zspbk0014502,Histoire des poissons de Goan,zspbk0014501,Histoire des prisons de Goan,0.9310344827586207,0.9848797757487399,"Histoire des poissons de Goan, by NA. (, )","Histoire des prisons de Goan, by NA. (, )"
zspbk0013335,Confessions du Comte de ***,spbk0000377,Confessions du comte de C***,0.9285714285714286,0.9928314487939459,"Confessions du Comte de ***, by Duclos, Charles. (Londres; Paris, 1776)","Confessions du comte de C***, avec l'histoire de ses voyages en Russie, Turquie, Italie et dans les pyramides d'Égypte, by Cagliostro, Alessandro [Comte de]. (Cairo; Paris, 1787)"
zspbk0013652,Elemens de poësie franc?oise,zspbk0011901,Elemens de poësie françoise,0.9285714285714286,0.9771277064839348,"Elemens de poësie franc?oise, by Joannet, Claude. (, )","Elemens de poësie françoise, by Joannet, Claude. (Paris, 1752)"
zspbk0014427,Fondamenta Materiae medicae,zspbk0014172,Fundamenta materiae medicae,0.9259259259259259,0.9756060828611426,"Fondamenta Materiae medicae, by Cartheuser, Johann Friedrich. (, )","Fundamenta materiae medicae, by Cartheuser, Johann Friedrich. (, )"
zspbk0012053,[Encyclopédie élémentaire],spbk0000716,Encyclopédie élémentaire,0.9230769230769231,0.9780192938436515,"[Encyclopédie élémentaire], by NA. (, )","Encyclopédie élémentaire, ou Rudiment des sciences et des arts, by NA. (Autun, 1775)"
zspbk0013369,Elite de poësies fugitives,zspbk0010883,Elite de Poesies fugitives,0.9230769230769231,0.9722718241315029,"Elite de poësies fugitives, by Blin de SAintmore, Adrien Michel Hyacinthe. (Londres; Paris (?), 1769-70)","Elite de Poesies fugitives, by NA. (Londres, 1769)"
zspbk0013486,Traité du feu,zspbk0011229,Traité du Jeu,0.9230769230769231,0.9411764705882353,"Traité du feu, by NA. (, )","Traité du Jeu, by NA. (, )"
zspbk0014206,Praxis medica,zspbk0014151,Praxis Medica,0.9230769230769231,0.9411764705882353,"Praxis medica, by Sorbait, Paul de. (, )","Praxis Medica, by Piquer, Andres. (, )"
zspbk0011001,Contes Moraux,spbk0000405,Contes moraux,0.9230769230769231,0.9333333333333332,"Contes Moraux, by NA. (Amsterdam, 1772)","Contes moraux par M. Le Prince de Beaumont, by Le Prince de Beaumont, Marie. (Lyon, 1774)"
zspbk0011001,Contes Moraux,spbk0003798,Contes moraux,0.9230769230769231,0.9333333333333332,"Contes Moraux, by NA. (Amsterdam, 1772)","Contes moraux par Marmontel, nouvelle Edition, by Marmontel, Jean-François. (La Haye, 1774)"
zspbk0013243,Dictionnaire de la Geographie ancienne,zspbk0013209,Dictionnaire de Geographie ancienne,0.9210526315789473,0.9901422929757836,"Dictionnaire de la Geographie ancienne, by NA. (, )","Dictionnaire de Geographie ancienne, by NA. (, )"
spbk0003566,Sermons sur divers textes de l'Ecriture sainte [de,spbk0003557,Sermons sur divers textes de l'Ecriture sainte,0.92,0.9935818661312839,"Sermons sur divers textes de l'Écriture sainte, by Chatelain, Henri-Abraham. (n.pl., NA)","Sermons sur divers textes de l'Ecriture sainte, by Romilly, Jean Edme. (Geneva, 1780-1788)"
