id_1	title_1	category_1	notes_1	author_1	imprint_1	id_2	title_2	category_2	notes_2	author_2	imprint_2	osa	identical?
371	La Bible enfin expliquee par plusieurs aumoniers	F357		"Voltaire, Francois-Marie Arouet"	London.  in-4°.	233	La Bible enfin expliquee par plusieurs aumoniers	F222		"Voltaire, Francois Marie Arouet"	London.	1	
235	"Systeme social, ou Principes naturels de la morale et de la politique avec un examen de l'influence du gouvernement sur les moeurs"	F224		"Holbach, Paul Henri Thiry [baron d']"	This edition is counterfeit according to source data. No publication details provided. in-8°.	234	"Systeme social, ou Principes naturels de la morale et de la politique avec un examen de l'influence du gouvernement sur les moeurs"	F223		"Holbach, Paul Henri Thiry [baron d']"	London. in-8°.	1	
285	"Paul Jones, ou Propheties sur l'Amerique, l'Angleterre, la France, l'Espagne, la Hollande"	F272	Not in Darnton's corpus.		"No imprint details. in-8°. Probable author acc. to worldcat Je?ro?me Helve?tius. Likely to have been published in Baden, 1781."	284	"Paul Jones, ou Propheties sur l'Amerique, l'Angleterre, la France, l'Espagne, la Hollande"	F273	Not in Darnton's corpus.		"No imprint details. in-8°. Probable author acc. to worldcat Je?ro?me Helve?tius. Likely to have been published in Baden, 1781."	1	
351	"Lettre de Danguy, danseur de l'Opera incendia dans le feu du 8 juin 1781 de l'Opera"	F336	Not in Darnton's corpus.		"No imprint details.  in-8°.  Attack on the duc de Chartres and published in 1781, acc. to 'Mémoires secrets pour servir à l'histoire de la république des lettres en France', by Bachaumont, London, 1783, p.355.  Dawson mentions that it may be a pamphlet against the duc d'Orleans."	350	"Lettre de Danguy, danseur de l'Opera incendia dans le feu du 8 juin 1781 de l'Opera"	F336	Not in Darnton's corpus. Attack on the duc de Chartres.		"No imprint details.  in-8°. Published in 1781, acc. to 'Mémoires secrets pour servir à l'histoire de la république des lettres en France', by Bachaumont, London, 1783, p.355."	1	
395	miscellaneous	R10	Mostly not banned works.		Contains various 'missels romains' in-8°.	383	miscellaneous	F369			"in-8° and in-12°. Incomplete, unidentified and miscellaneous works."	1	
398	miscellaneous	R12	not banned books		"Contains 'Ceremonies religieuses' vol. 7 only; 'Histoire de Paris'; 'Nobiliaire, ou Armorial general de la Lorraine'; 'Dictionnaire de l'Academie' ed. in Holland 1685."	383	miscellaneous	F369			"in-8° and in-12°. Incomplete, unidentified and miscellaneous works."	1	
405	miscellaneous	R19	not banned books		Contains 12 maps.	383	miscellaneous	F369			"in-8° and in-12°. Incomplete, unidentified and miscellaneous works."	1	
406	miscellaneous	R20	not banned books		Contains music sheets of little value.	383	miscellaneous	F369			"in-8° and in-12°. Incomplete, unidentified and miscellaneous works."	1	
398	miscellaneous	R12	not banned books		"Contains 'Ceremonies religieuses' vol. 7 only; 'Histoire de Paris'; 'Nobiliaire, ou Armorial general de la Lorraine'; 'Dictionnaire de l'Academie' ed. in Holland 1685."	395	miscellaneous	R10	Mostly not banned works.		Contains various 'missels romains' in-8°.	1	
405	miscellaneous	R19	not banned books		Contains 12 maps.	395	miscellaneous	R10	Mostly not banned works.		Contains various 'missels romains' in-8°.	1	
406	miscellaneous	R20	not banned books		Contains music sheets of little value.	395	miscellaneous	R10	Mostly not banned works.		Contains various 'missels romains' in-8°.	1	
397	Dictionnaire  de Moreri	R11	Tolerated book acc. to Dawson.	"Moreri, Louis"	No imprint details. Missing vol. 4. Likely published in Paris.	396	Dictionnaire  de Moreri	R11	Tolerated book acc. to Dawson.		No imprint details. Missing vol. 4.	1	
405	miscellaneous	R19	not banned books		Contains 12 maps.	398	miscellaneous	R12	not banned books		"Contains 'Ceremonies religieuses' vol. 7 only; 'Histoire de Paris'; 'Nobiliaire, ou Armorial general de la Lorraine'; 'Dictionnaire de l'Academie' ed. in Holland 1685."	1	
406	miscellaneous	R20	not banned books		Contains music sheets of little value.	398	miscellaneous	R12	not banned books		"Contains 'Ceremonies religieuses' vol. 7 only; 'Histoire de Paris'; 'Nobiliaire, ou Armorial general de la Lorraine'; 'Dictionnaire de l'Academie' ed. in Holland 1685."	1	
406	miscellaneous	R20	not banned books		Contains music sheets of little value.	405	miscellaneous	R19	not banned books		Contains 12 maps.	1	
419	Lettre sur l'emprunt et l'impot adresse a M***	B12	Not in Darnton's corpus	Rilliet de Saussure	No imprint details. in-8°.	418	Lettre sur l'emprunt et l'impot adresse a M***	B12		Rilliet de Saussure	No imprint details. in-8°.	1	
426	Lettre d'un garde du roi pour servir de suite au Memoire de Cagliostro	B18	Not in Darnton's corpus	"Manuel, Louis-Pierre"	London. in-12°.	425	Lettre d'un garde du roi pour servir de suite au Memoire de Cagliostro	B18	Not in Darnton's corpus		London. in-12°.	1	
452	Journal britannique	B45			"London, 1784. Various volumes."	451	Journal britannique	B44		"Maty, Mathieu"	"London, 1784. no 1-5."	1	
43	"Histoire du siege de Gibraltar fait pendant l'ete de 1782 sous les ordres du capitaine general duc de Crillon, lieutenant-general des armees de France, par un officier des armees francois"	F39	in-8°. In Darnton's corpus it is number 436.	"Michaud d'Arcon, Jean Claude Eleonore"	Cadix	42	"Histoire du siege de Gibraltar fait pendant l'ete de a782 sous les ordres du capitaine general duc de Crillon, lieutenant-general des armees de France, par un officier des armees francois"	F39	in-8°. In Darnton's corpus it is number 436.	"Michaud d'Arcon, Jean Claude Eleonore"	Cadix	0.994652406	
239	"Le Christianisme devoile, ou examen des principes et des effets de la religion chretienne"	F228		"Holbach, Paul Henri Thiry [baron d']"	in-8°. Probably published in London or Amsterdam. Source data does not give publication details.	224	"Le Christianisme devoile, ou Examen des principes et des effets de la religion chretienne"	F213		"Holbach, Paul Henri Thiry [baron d']"	London. in-8°.	0.988764045	
