ID,super_book_title,author_name,super_book_code
217,Coquetterie (la) demasquee,NA,NA
218,Cercle (le) ou le passe-temps galant,NA,NA
219,Commentaire (le) sur les Gazettes,NA,NA
220,Cent (les) et une histoires,NA,NA
221,Commentaire sur la passion,NA,NA
222,Conjecture sur les vertus et les proprietes de l'ame,NA,NA
223,Critique generale sur les defauts des hommes,NA,NA
224,Critique des ouvrages du pere Malebranche,NA,NA
225,Constitution (la) inexpugnable a l'abri de l'autorite qui la propose,NA,NA
226,Clidamis eveille ou le retour de Cithere,NA,NA
227,Critique de la suite de dom Quichotte,NA,NA
228,Coquette (la) provinciale,NA,NA
230,Contes plaisants et bons mots,NA,NA
231,Conferences sur plusieurs canons des anciens conciles,NA,NA
232,Calendrier (le) des amants,NA,NA
233,Conferences sur les principaux evenements de la vie de David et de Salomon,NA,NA
234,Caracteres de l'eloquence,NA,NA
235,Conferences du droit ecclesiastique,NA,NA
236,Commentaire sur la coutume de Paris,NA,NA
237,"Critique de la lettre sur la come?te, ou Lettre d'un philosophe a une demoiselle a?ge?e de 9 ans","Basset des Rosiers, Gilles",NA
238,Catechisme pour les fideles de l'Amerique,NA,NA
239,La Callipe?die : ou manie?re d'avoir de beaux enfants. Poeme didactique,"Quillet, Claude",NA
240,Confidences (les) reciproques ou anecdotes de la societe de Madame la comtesse de B...,"Caylus, Anne Claude, comte de",NA
241,Calendrier hieroglyphique ou idee generale de la connaissance du monde,NA,NA
242,Callisthene ou le modele du veritable amour,NA,NA
243,Consolation de Ciceron apres la mort de sa fille,NA,NA
244,Conference des droits de 1666 jusqu'en 1749,NA,NA
245,Corps et compilation d'ordonnances concernant les matieres criminelles,NA,NA
246,Contredits sur le commentaire de Ferriere sur la coutume de Paris,NA,NA
247,"Refutation du Celse moderne, ou, Objections contre le Christianisme avec des reponses","Gautier, Joseph",NA
248,Combat (le) comique,NA,NA
249,Caracteres (les) ou la pure verite,NA,NA
250,"Constance (la) de Job, poeme",NA,NA
251,Correspondance des honnetes gens,NA,NA
252,"Capucinade, histoire sans vraisemblance","Nougaret, Pierre Jean Baptiste",NA
253,Coiffure au Canada,NA,NA
254,Carosse (le) de voiture,NA,NA
255,Copie de la fameuse lettre de M. Vilkes,NA,NA
256,"Fabliaux et Contes des Poe?tes Franc?ois des XII - XV sie?cles, tire?s des meilleurs Auteurs","Barbazan, Etienne",NA
257,Comparaison de l'impot de France avec celui d'Angleterre,NA,NA
258,Code (le) francois contenant le precis du code justinien,NA,NA
259,"Comtesse (la) Wesseline, histoire de Hongrie",NA,NA
260,Czar (le) Pierre,NA,NA
261,Contemplation de la nature,"Bonnet, Charles;",NA
262,"Cousin (le) de Mahomet, et la folie salutaire, histoire plus que galante","Fromaget, Nicolas;",NA
263,Christianisme (le) dévoilé,"Holbach, Paul Henri Dietrich [d'];",NA
264,Contes de Guillaume Vadé,Voltaire,NA
265,Candide,"Voltaire, François Marie Arouet;",NA
266,Canape (le),NA,NA
267,Colporteur (le),"Chevrier, François-Antoine;",NA
268,Choses (les) utiles et agreables,"Voltaire, François Marie Arouet;",NA
269,Contes de La Fontaine,"La Fontaine, Jean",NA
270,Code de l'imperatrice de Russie,NA,NA
271,Causes de la depopulation et moyens d'y remedier,"Jaubert, Pierre",NA
272,Comparaison des Papistes et des Pharisiens,NA,NA
273,"Sainte (la) Confre?rie, ou Confe?de?ration d'amour de Notre-Dame Auxiliatrice",NA,NA
274,"Contes et nouvelles de Marguerite de Valois, reine de Navarre, mis en beau langage","Angoule?me, Marguerite d'",NA
275,Catechisme militaire,NA,NA
276,Champ de Mars (nouveau) a la gloire de Louis le bien aime,NA,NA
277,Catéchisme de morale,NA,NA
278,Consolations raisonnables et religieuses,"Formey, Jean Henri Samuel;",NA
279,Etrennes aux gens d'église ou la Chandelle d'Arras,"Du Laurens, Henri-Joseph;",NA
280,Cure (le) Ardennais  ou contradictions de Belisaire au 15eme chapitre,NA,NA
281,Courrier (le) espagnol ou Lettres concernant les Jesuites d'Espagne et leur expulsion,NA,NA
282,Cendres (les) de Boileau avec des reflexions litteraires par M. Mainguier,NA,NA
283,Cri (le) d'un honnete homme qui se croit fonde a repudier sa femme,Philbert,NA
284,Critique de la requete presentee au Roi par les religieux de l'abbaye Saint Germain,NA,NA
285,Conferences sur la religion entre un milord et un benedictin de Saint Maur,NA,NA
286,Compte rendu des affaires les plus importantes de l'univers tout recemment discutees au cafe Dubuisson,NA,NA
287,Cenobite (le) malheureux ou lettres a mon ami par M. Le Cotay,NA,NA
288,Critique de la theorie du luxe,NA,NA
289,Constitution de l'Angleterre,"Lolme, Jean Louis de;",NA
290,Coutume du pays et comte de Poitou,NA,NA
291,Correspondance secrete et familiere de M. de Maupeou avec M. de Sor***,"Pidansat de Mairobert, Mathieu-Francois",NA
292,Confessions (les) du Comte de ***,"Pinot Duclos, Charles",NA
293,Difference de la veritable voix interieure et de la fausse voix du Molinos,NA,NA
294,Discours sur l'utilite des affiches,NA,NA
295,Dissertation historique et critique sur le martyre de la religion chretienne,NA,NA
296,De la providence de Dieu,NA,NA
297,Dissertation sur les canons des conciles,NA,NA
298,Dernieres (les) paroles des hommes les plus illustres et les plus saints,NA,NA
299,Discours de piete dans le gout de la meilleure maniere de precher,NA,NA
300,Droits (les) de Philippe V a la couronne d'Espagne,NA,NA
301,Defense de l'humilite seraphique,NA,NA
302,Dictionnaire genealogique de la noblesse de France,NA,NA
303,Descriptions de Paris en vers heroiques,NA,NA
304,Dissertation demonstrative que la Sainte Vierge a ete preservee du peche originel,NA,NA
305,Dialogue des animaux,NA,NA
306,Divers moyens d'instruction pour soulager les hommes dans les travaux,NA,NA
307,"Dom Quichotte de la Manche, espagnol revolte, tragicomedie",NA,NA
308,Diverses aventures galantes arrivees au moulin de Javelle,NA,NA
310,Dissertation sur l'administration des sacrements,NA,NA
311,Dissertation sur la predestination,NA,NA
312,Dissertation sur les peines canoniques,NA,NA
313,Dissertation sur le paradis terrestre,NA,NA
314,Discours sur l'etat de l'homme avant de se connoitre,NA,NA
315,Discours sur la succession du roi Philippe au trone d'Espagne,NA,NA
316,Dissertation sur la coeternite du verbe et la divinite du Saint Esprit,NA,NA
317,Dissertation sur le 17eme canon du 1er concile de Tolede,NA,NA
318,"Dissertation sur l'annee, le mois, le jour que N. S. est ne",NA,NA
319,Discours sur le sacre de l'Electeur de Cologne,NA,NA
321,Dissertation sur l'explication qu'a fait Saint Mathieu de la naissance de Jesus Christ,NA,NA
322,Dissertation critique sur un ouvrage nouvellement publie par les Benedictins,NA,NA
323,Dictionaire pratique du bon menager de campagne et de ville,"Liger, Louis",NA
324,Dialogue des vivants,"Bordelon, Laurent, abbe de",NA
325,Dangers (les) auxquels s'exposent les ecclesiastiques dans le commerce des femmes,NA,NA
326,Oraison funebre de Monseigneur le dauphin et de Madame la dauphine,NA,NA
327,Diverses prieres sur l'apparition d'un religieux benedictin,NA,NA
328,De fabula equitis Constantiniani Scipionis Massei,NA,NA
329,Dissertation sur les articles 214 et 230 de la coutume de Paris,NA,NA
330,Discours dogmatique prononce a Soret a la rupture de la bulle de Clement 11,NA,NA
331,"Daniel, tragedie",NA,NA
332,Devotion (la) des 13 vendredis a l'honneur de Saint Francois de Paule,NA,NA
333,"Dissertation historique et the?ologique dans laquelle on examine quel a e?te? le sentiment du Concile de Constance ... sur l'autorite? des Papes, et sur leur infailibilite?","Petit-Didier, Mathieu",NA
334,Description historique du couronnement de Benoit XIII,NA,NA
335,Divus Augustinus vivo Thomae conciliatus,NA,NA
336,Dissertation sur les contestations occasionnees par la Bulle Unigenitus,NA,NA
337,Dissertation sur les contestations occasionnees par la Bulle Unigenitus,NA,NA
338,Dissertation dogmatique sur les miracles,NA,NA
339,De Locis theologicis constitutiones decem,NA,NA
341,Amours (les) de Daphnis et Chloé,"Longus; Mulot, François-Valentin;",NA
342,Droits (les)  du souverain defendus contre les excommunications,NA,NA
343,Discours prononce sur l'echafaud par ceux qui ont ete executes en Angleterre,NA,NA
344,Dialogue entre la nature et la jeunesse,NA,NA
345,Dissertations curieuses sur les trois theatres,NA,NA
346,Dissertation sur la taille,NA,NA
347,Dictionnaire neologique a l'usage des beaux-esprits du siécle,"Guyot Desfontaines, Pierre-Francois",NA
348,Dissertation sur le nouveau testament par laquelle on termine toutes les difficultes elevees dans l'Eglise,NA,NA
349,Dialogue entre l'homme chretien et l'homme du monde,NA,NA
350,Discours sur le gouvernement de Geneve,NA,NA
351,Divers etats de la Monarchie francaise ou l'on demontre les droits du Roi,NA,NA
352,Demonstrations et maximes salutaires pour se rendre heureux en cette vie et en l'autre,NA,NA
353,Dictionnaire des conseils du roi,NA,NA
354,Dissertation sur la generation,NA,NA
355,Discours sur la cene prononce devant le roi,NA,NA
356,Defense de la religion tant naturelle que re?ve?le?e contre les infide?les et les incre?dules,"Burnet, Gilbert",NA
357,Description des 12 mois de l'annee,NA,NA
358,Dissertation sur les arcs de triomphe de la ville de Reims,"Carbon, Nicolas",NA
359,Defense de la basse de viole contre les entreprises du violon,"Le Blanc, Hubert",NA
360,Discours ou l'on fait voir par l'homme meme que les animaux ne sont que des machines,NA,NA
361,Detail instructif pour les officiers de la marine concernant les armements,NA,NA
362,Le droit commun de la France et la coutume de Paris re?duite en principes,"Bourjon, Francois",NA
363,"Diogene a Paris, comedie",NA,NA
364,Discours sur l'union,NA,NA
365,Dissertation sur les differentes matieres de la discipline ecclesiastique,NA,NA
366,Destruction (la) des Druides,NA,NA
367,Discours academique de Mr d'Aussan sur la necessite et l'utilite de l'experience dans l'art militaire,NA,NA
368,Dunciade (la)ou l'Angleterre demasque?e,"Pope, Alexander",NA
369,Demonstration metaphysique contre l'infinie divisibilite de la matiere,NA,NA
370,Decisiones ad usum fori,NA,NA
371,Depute (le) du Parnasse pour la verification de ce que la renommee publie de la magnificence du superbe M. de Matignon,NA,NA
372,Dissertation sur la raison infuse et sur les ide?es inne?es,Mirans,NA
374,Description abregee du royaume d'Ecosse,NA,NA
375,Discours de morale et de piete,NA,NA
376,"Dialogues sur les plaisirs, sur les passions, sur le merite des femmes, et sur leur sensibilite? pour l'honneur",Dupuy La Chapelle,NA
377,Dissertations dogmatiques et pratiques sur les libertes de l'eglise gallicane,NA,NA
378,Discipline de la vie gallicane touchant la vie et les moeurs,NA,NA
379,Dissertation sur l'immortalite divine,NA,NA
380,Demonstration abregee du vrai systeme du monde,NA,NA
381,Dissertation sur les 12 verites principales que la constitution enseigne,NA,NA
382,Defense de la nature humaine contre les frondeurs,NA,NA
383,Destinee (la) du Louis d'or contenant ses aventures,NA,NA
384,Detail des exploits des trois dernieres guerres de l'Europe,NA,NA
385,Sur la Destruction des jesuites en France: par un auteur desinteressé,No Author Identifable,NA
386,Destructeur (le) de la saignee,NA,NA
387,Discours aux francais sur la mort de Mr Le Dauphin,NA,NA
388,Discours sur la volupte,NA,NA
389,"Examen des defauts theologiques, ou l'on indique les moyens de les reformer","Barre, Joseph",NA
390,Dissertations historiques et apologetiques sur l'antiquite de l'eglise gallicane,NA,NA
391,Discours de l'empereur Julien,"Argens, Jean-Baptiste de Boyer [marquis d']; Voltaire, François Marie Arouet; Julian",NA
392,Dieu et les hommes,"Voltaire, François Marie Arouet;",NA
